project;mergecommit;leftcommit;basecommit;rightcommit;ssmergeconfs;unmergeconfs
https://github.com/jenkinsci/jenkins;4b47fd523a35253f88cb10db5b1dc5dcc05a50e4;33ae00ec46;73e816418cd4661e14a85799cb3a98d378ea0273;687e5844b0;0;1
https://github.com/jenkinsci/jenkins;f88a9502a586b5562059e1a2364bdae10e8f9fd1;3f9a6308ee;02c8ae7c109cfb9f346e184a72b562164dba7e03;15e4a360eb;1;0
https://github.com/jenkinsci/jenkins;24eb579d0c7710d0360c13d032386475938135ec;028e7a8ea8;4cce11efb341bad6cdfe4efcdb148f770a118cb1;042a4cd8a4;0;2
https://github.com/jenkinsci/jenkins;260f8f28cccbac47e60fca7070313213371a9738;92e7aa00b6;40983bac81df783cbf07ecfc5b1a71c444c00c79;55debe8ad2;1;0
https://github.com/jenkinsci/jenkins;6b3b55579a96e39b5de3853c14f25b0f76bb1bb1;bafc4f61a6;c21918df7e9b783c12d1bdc775b45b9531da7032;205fea68ad;1;0
https://github.com/jenkinsci/jenkins;edcde6d14aac4a6320519013826d96b991fa1977;427a8aba4a;782f7f7236a98bfb8f3fff56992088a0d42222c3;55d1f1fec3;0;1
https://github.com/jenkinsci/jenkins;36148686942ae0455a63973113df9bfdd73bf216;f28409ee27;31bb961f4d9dc0e62241dc37b14be02919e65009;f5209cd4de;1;0
https://github.com/jenkinsci/jenkins;2adef6719ab50a2b54c3fda8a5cadfd37174b22e;017e445686;84a78d5bac5b1ac45f7f8f957287b1ba4391c263;d9e6602194;1;0
https://github.com/jenkinsci/jenkins;f6373f7ada14a7914f4ae08b6af4c1b27d343c21;82e57cb8e4;b78fe8756da0e2dc3ac03f71b5cf6ae31de02254;58d20244d3;1;0
https://github.com/jenkinsci/jenkins;211231d12b2d5e998421ab7a332f955800d5b601;244ff567cc;bcdff8c55b9f413202e06aba73bc2dd8dc7e3edd;2dbe144bb7;1;0
https://github.com/jenkinsci/jenkins;91b3d3c544932c29e50d278e7782ff5c720df0af;de14777e59;2dd0398aa34ec19ae844d6caceae100ea5e0128e;ef442a835d;2;0
https://github.com/jenkinsci/jenkins;bc0b850510e149f1e2adafb864d045cbb46a7dea;5d78f3c958;0f08dc0cb5dd2a87f877a4ad4e07b1d5685c2de4;72fbaba275;2;0
https://github.com/jenkinsci/jenkins;454d0f2b874fbd104b0326520dd0a336bcfeacf7;4ab9c096bc;cf621d8caf6bf068be09defc31a27ad36b2d23e0;90d463b6a2;1;0
https://github.com/jenkinsci/jenkins;b4a17d3b450acab62522a31f0f44e1f30e2c5353;cc32c22a5d;8568eaa873611d03ccfeab52086bd79439f2978f;0cef413514;1;0
https://github.com/jenkinsci/jenkins;c3d9b844d8f080508ff5b37ec8771663a01c5a4e;1e62491558;38d8cdd764fafb4450f42dec49f0dddd1c585dc2;d463a30c92;1;0
https://github.com/jenkinsci/jenkins;8ef261ef8d233a0a30384249f12945808c7f628b;a689c472ab;bcdfb2860ffa4bef97ce01a20779b08472388231;42734675f4;1;0
https://github.com/jenkinsci/jenkins;719975595d3d3dae38bc27bf85fe9f3a445c85c9;609487a06f;b22b17c0d68c95bece46818fbf9ef562902b10c1;9eb69772a5;1;0
https://github.com/jenkinsci/jenkins;941e83fae1f12cb442d2b4b3c434e0c2e7e9611e;03b1c4f521;ef08900292726bb35be269ce6d41d8dc141c6dea;6030c77e6b;1;0
https://github.com/jenkinsci/jenkins;cd77e38c0881429cbe39d841621498ab0c12d8c7;d53022c2df;2857f3cf426bcda90981c9b0d0cc38acc9939dde;246d351913;0;2
https://github.com/jenkinsci/jenkins;50cda8ca190315d1f2b9c7da310af0c6cc9224e0;8697ec2947;806d1091edb6b464cfd1d540d9ebabae7e15ba0f;2971bce840;1;0
https://github.com/jenkinsci/jenkins;4ef0018101c9f28e26bc4d447cc7c0ca84fd2c1d;04c3729ea5;ec503aa8316e7d8c38d830b8c32e7eb2732d5117;a92e9da978;0;1
https://github.com/jenkinsci/jenkins;8e2bda4ac60a5bd6f8ee06f4388cca8ee22b9e54;6b6a69ec0d;bfa4f4fa4fc5f1de75b8289c413ef9525168f00c;f491e9c5de;1;0
https://github.com/jenkinsci/jenkins;8c4288ca59568e9c8d94022de7871e472f019a2f;9c05c67743;08a1fc39d5231f319e64776889d6a66aac94f26d;428aa7aaee;1;0
https://github.com/jenkinsci/jenkins;9ee9684681c9e8eaa1de1f005c2f08505bb9b831;705b013c8a;b68a39aafc9e00df44e942cf226485026cb72193;ae7440482a;1;0
