project;mergecommit;leftcommit;basecommit;rightcommit;ssmergeconfs;ssmergeloc;ssmergerenamingconfs;ssmergedeletionconfs;ssmergeinnerdeletionconfs;ssmergetaeconfs;ssmergenereoconfs;ssmergeinitlblocksconfs;ssmergeacidentalconfs;unmergeconfs;unmergeloc;unmergetime;ssmergetime;unmergeduplicateddeclarationerrors;unmergeorderingconfs;equalconfs
https://github.com/jenkinsci/jenkins;4f89f013eadafc05b24c473494800d9530308505;8297f1e5fd;8962a43c01367f61c41e02437d4936c2b3652431;73e816418c;11;106;0;0;0;0;0;8;1;18;135;-1328855535;1030756120;3;9;10
https://github.com/jenkinsci/jenkins;4b47fd523a35253f88cb10db5b1dc5dcc05a50e4;33ae00ec46;73e816418cd4661e14a85799cb3a98d378ea0273;687e5844b0;0;0;0;0;0;0;0;0;0;1;1;136898273;1094891870;0;1;0
https://github.com/jenkinsci/jenkins;27fcc28facd27335263af73d5be7695e0841b44b;d38f7a81bf;687e5844b0da9b77bbdab63e3306aae68b287105;dabb35190e;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
https://github.com/jenkinsci/jenkins;af9ccc42bd055f1cbb9f8eb5ad156ca95dcb19da;ab7b9c506c;dabb35190e931e96009cbe0591d38c6e50b9a1ea;7ba1b6940d;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
https://github.com/jenkinsci/jenkins;8cc55159ca935b0d982d9b27cff2ec49fe5ccbec;d3244f0140;7ba1b6940dc040a2e23ae5a4407b900a9e774109;02c8ae7c10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
https://github.com/jenkinsci/jenkins;f88a9502a586b5562059e1a2364bdae10e8f9fd1;3f9a6308ee;02c8ae7c109cfb9f346e184a72b562164dba7e03;15e4a360eb;1;1;0;0;0;0;0;0;0;0;0;148330660;-1981543089;0;0;0
https://github.com/jenkinsci/jenkins;2308cfae793f11eb46fc5c10f7e367a24a9fb68c;4478896511;15e4a360eb5e5717661fbcd42e454700bfa40848;f8644cf5a8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
https://github.com/jenkinsci/jenkins;0ed1a3581d14cbb4b86ad888e6dc8ae9776077a7;ba87adfc37;f8644cf5a872234e2d3b04d27e36ef3293d60eab;ea0ed93558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
https://github.com/jenkinsci/jenkins;f092e9f0a5c5a00ac442c2b7facee082b6176e20;fb0be6e20d;423fcd059dd05373b577680fd8a0178ddb033ed1;c59e4c5896;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
https://github.com/jenkinsci/jenkins;2f50f49517b20cfd1b933e4871249aa489234977;a04320c09d;23891487d2e4355dd15029799aa17250b9445b7b;e1ab16ce57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
https://github.com/jenkinsci/jenkins;49a113463a92f05a3e292ad2c6120e6fe15b14b4;2ae2e1d28c;8809f3def61d24b136cf3c215ddea05c896bcb60;dee464ffd9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
