project;mergecommit;leftcommit;basecommit;rightcommit;ssmergeconfs;unmergeconfs
https://github.com/realm/realm-java;acc3f273fb1ee292f6d9f1075b22b889f9de2cb1;e6b823084;cc604450a7e1af397b3b19ae864f1cc9215c6edb;0a4fd5e05;1;0
https://github.com/realm/realm-java;013cfdf9bca71a1d57d5bcd360ebacd5c8949b82;386ae1daf;0cbb94c4a91875a7acfc3d626f4cdc009b83241a;bfaf60600;0;2
https://github.com/realm/realm-java;854ee4bb44cffd9c3000e0e1ac845f675364fdbe;bf7442b98;2571ae77fbd67a1cbdf046f02b5b1fadab42bc9c;74bcf6b90;2;0
https://github.com/realm/realm-java;35d64677001c9d063b69a95e9f974a73e4dac7a2;773f16073;706921d34585a97f2e39ba7ac812c7f488df56c1;4342dace1;1;0
https://github.com/realm/realm-java;cda32f4bd33bd7690c86bfae0154d4b34550016d;405969adf;e0cc0d0f29c28f9bcd02982928e2018f5c6312d1;263525e4d;0;1
https://github.com/realm/realm-java;104c03d573454bd44b9e28431eec52b0c7c4515e;21e1e8139;2cfa0ac32bf54e0ee955716110a4fa4b13dc4e36;c8bbf3f47;3;0
https://github.com/realm/realm-java;12e8a821e11c3b187d8a178332827ef353d52ed3;3f97e100e;e1da885c6dd51ca906c0fdae752a0b08c5ec949f;56c706467;2;0
https://github.com/realm/realm-java;b2a46bff6fab59c0d8b60259cd55f9f7ee53709e;c66aa0762;e2326ee7010595aae6ddb99d367d1156054710e8;ba9f66595;2;0
https://github.com/realm/realm-java;de5c532b3078d97535ac871ec2c338dd52ce699d;35ee17bc6;894b666cd310555ca2c741f91726edd07d9c8cbb;6e8b07ba3;0;1
https://github.com/realm/realm-java;d3a2133ec2c62d55e7a91abb86861b9c3306a2e0;a44766f52;fc5cfc80c9ecb4f86e153c224175835a4b96d142;404388b43;1;0
https://github.com/realm/realm-java;2d971f7422057a5b1d96b59d16bf897389b5e625;eeaffafc8;a523065bf11da958b2d5427ca5805f13fd9f16db;1eaf9104e;0;1
https://github.com/realm/realm-java;2116a4d004e31b8371d11e666267377feacd6eb2;ca6c0e94c;90c73bc8cb1b74e309f6e6aa49f9d37f7ca61d81;eb9a50c9c;1;0
https://github.com/realm/realm-java;dd88e45b0ab43a3f3fb5cbce9059f6fa07f667ac;c7dce4f0d;9971760f1383ced7c08696cf684e72e58a8db773;3411d9527;1;0
https://github.com/realm/realm-java;0393fbf3112e9f78e6b0ed278dfc1e3b7ff5465a;bb91c9d18;f6a0472b0fe8f5a22e54a7aaa34be84c728fb371;3a93ed7e0;1;0
https://github.com/realm/realm-java;9a75cac239f825c080dd471c8fb92a514515970d;ab8512454;d35d42b52c4939d3ee7a3c8d655515a12bd3a3e3;138959ee4;0;2
https://github.com/realm/realm-java;867e8a25b1c5e49eda0fc27ba24ad2eca6032ff6;23cceef0d;d58afc07eb9554d520bba0f4bbefb1e79f2fc565;e26b61af6;2;0
https://github.com/realm/realm-java;01b62fe389978248ae0b67779d0949bc8dc7d978;c5b7f7cf0;43cc158ed90ab29da613838430bb8f5b395ce8ac;00852f1b8;2;0
https://github.com/realm/realm-java;e2b5529f4ce6099ac75cddefc26dd649076ff417;5c4768284;b0b77e624889077b5459702874da72e48e637493;acb3638ee;1;0
https://github.com/realm/realm-java;3c70babaeecd5334f25934d77e69edd09a1d9325;a39ca18a5;ac3a6d10d4827fffc44f141bf52cf63c84a17b59;1ca89d73d;2;0
https://github.com/realm/realm-java;327c7ffcc3a5c61e9e4a1f76bbfcc6be77fc7b12;5634c40b5;dce6cd27fbeaa0bbf8eb8796e89fed06d6e33702;ad27d65d9;1;0
https://github.com/realm/realm-java;85dea715fcb079feb98dded06e8c2d9076f4ba14;6888130ce;dce6cd27fbeaa0bbf8eb8796e89fed06d6e33702;ad27d65d9;1;0
https://github.com/realm/realm-java;29817900846e057ca8eac76f20fbb1122ed86675;151eb5a78;ad27d65d95a7cfd9a3bf38fcf80ccfd8e6ea671a;b84bd416b;1;0
https://github.com/realm/realm-java;458dcba23999c1cf41eeb0dce9fc1c8e91d2a444;d29179c8d;1ca89d73d92d1e0de97d4ec33e76bcb06eca365e;457993c17;1;0
https://github.com/realm/realm-java;78c6a0f0acd3324ed27b26eaca26d9896948c82e;c4f3dc697;7da486c93b38d59e3742d607b85252717027de75;be6901ec4;0;1
https://github.com/realm/realm-java;7e667fc1fd04b5fd96af8ed56ab75ee9d0181fb4;e4e3c7d71;b3d480aee9bf6c9faa7ec737cfe1088e16015d55;12c9d7572;1;0
https://github.com/realm/realm-java;153a79e0f14da1a5a795d601e01cab91ac0694b9;8e1dd5b39;58a0c2c4e867ded4f97fa41509eed0a77f5570ad;f7f45a3de;1;0
https://github.com/realm/realm-java;db48fa333fbfca35cd0598443be72dfaff148c44;4677d5744;13ae9157201acd93a35b28b2a7af27a8b5af51b0;0b97009c0;0;1
https://github.com/realm/realm-java;028e521347b94fa8e19aa7bbc20feb2fd2331e4e;47f49c3df;d55a14995cfe7632c3b339ab1cc3173b469a6d0a;e1036a72d;0;1
https://github.com/realm/realm-java;ebe505ba4f0ff522aefd23de279a8b1763c49d76;95e1b55ee;e1036a72d38cfb98af0e45e5f62e4a7cc4904453;8a6263241;0;5
https://github.com/realm/realm-java;877aa8b8e1fe05a6c146379f93f92f5cd274ded1;bb7acf2b6;8a6263241fe1c8eb2c1a4669343a2f702f9f57c2;c137bc21d;0;1
https://github.com/realm/realm-java;29aef5ef14ae240937150b17dacc0854e0e02ea1;c1a0bad9d;387e2b469363f9c3c8a59ff2c650b67f0dfd4a8f;7ce43cbac;0;1
https://github.com/realm/realm-java;9bcdd318e9a32ad70abc3f1f6be942a492dde470;eef3ab5ed;946a6590287186c80d0cc3bab6850fffb8d4b885;973d7ca11;1;0
https://github.com/realm/realm-java;c79a4668e46bc8b2713be1e3a87dd9213cb215de;7b8413baa;973d7ca117b3b861178e5c6725f06988bbc5e53f;4397969a2;0;5
https://github.com/realm/realm-java;f034db6a3357b79d1eec6806e47ce52931dbf33e;f05d561eb;5e3ac4a28f5ea50e663bcde1d8f0606f38456053;17cd606ed;1;0
https://github.com/realm/realm-java;99da4456fb111d96faa02b1d1632562d324ddbbe;ffe5bdfc7;8eb34e8f0537fdf9dd44499b95d5d1ce5cd2c358;670b42b53;4;0
https://github.com/realm/realm-java;38c90e5e885158e1b4cbae570b0a65f894b91f1e;154419881;eebdb0849e08aed5862f2bc0a638274b05e8395a;c5a616b56;0;1
https://github.com/realm/realm-java;3e1310755be871ec120633637f17afe3a439f4bc;52ba434e3;6d071200d8dba9eee93160bdd001a38de966faee;721753ab6;0;1
